label,aspect_ratio,has_document_quad,quad_area_fraction,has_qr,qr_area_fraction,edge_density,saturation_mean,dark_fraction,mean_brightness,blur,megapixels,predicted
not-document,1.9667,0.0,0.0,0.0,0.0,0.0321,20.86,0.0087,231.17,2212.58,0.177,unknown
not-document,1.9667,1.0,0.8023,1.0,0.2959,0.0761,46.03,0.4216,107.08,2558.55,0.177,unknown
not-document,1.9667,1.0,0.7478,1.0,0.2414,0.0678,77.39,0.3114,88.61,3273.83,0.177,unknown
not-document,1.9667,0.0,0.0,1.0,0.038,0.0446,52.35,0.8398,32.73,2059.62,0.177,unknown
not-document,1.9118,0.0,0.0,1.0,0.3618,0.0529,165.48,0.9016,16.19,1777.96,1.573,unknown
not-document,1.7778,0.0,0.0,0.0,0.0,0.0071,0.0,0.9832,3.73,327.08,2.471,unknown
not-document,1.7769,0.0,0.0,0.0,0.0,0.0836,49.61,0.1266,121.54,1353.04,3.726,unknown
not-document,1.7769,0.0,0.0,1.0,0.0834,0.0757,62.62,0.1851,119.77,618.17,3.726,unknown
not-document,2.1679,0.0,0.0,1.0,0.3726,0.0316,18.02,0.08,149.27,963.12,3.014,unknown
not-document,2.1496,0.0,0.0,0.0,0.0,0.0353,27.98,0.0007,234.79,1046.08,0.867,unknown
not-document,2.1667,1.0,0.2066,0.0,0.0,0.0364,27.72,0.0006,235.2,880.44,0.86,unknown
not-document,1.7778,0.0,0.0,0.0,0.0,0.0452,91.46,0.2659,85.05,227.66,2.742,unknown
not-document,1.3333,0.0,0.0,0.0,0.0,0.0886,22.54,0.0833,142.72,1140.74,12.193,unknown
not-document,1.3333,0.0,0.0,0.0,0.0,0.0031,75.63,0.5285,31.36,33.39,12.193,unknown
not-document,1.3278,0.0,0.0,1.0,0.337,0.0673,0.8,0.0322,230.63,1028.9,1.549,unknown
not-document,2.1679,0.0,0.0,1.0,0.5341,0.0529,61.18,0.4466,48.83,1453.95,3.014,unknown
not-document,2.1679,0.0,0.0,1.0,0.3951,0.0404,53.36,0.8463,28.6,827.03,3.014,unknown
not-document,2.1679,0.0,0.0,1.0,0.2113,0.0557,23.47,0.0229,231.96,2301.88,3.014,unknown
not-document,1.7769,0.0,0.0,0.0,0.0,0.037,49.0,0.2966,92.93,284.59,7.555,unknown
phone-a-dim,1.3334,0.0,0.0,1.0,0.0575,0.0,43.86,0.4521,42.8,13.95,12.186,unknown
phone-a-dim,1.3334,0.0,0.0,1.0,0.0983,0.0014,42.65,0.4792,41.01,20.21,12.186,unknown
phone-a-dim,1.3334,0.0,0.0,1.0,0.0724,0.0025,41.0,0.2374,50.25,31.42,12.186,unknown
phone-a-dim,1.3334,0.0,0.0,1.0,0.0868,0.0096,38.31,0.199,51.33,49.36,12.186,unknown
phone-a-good-light,1.3334,0.0,0.0,1.0,0.5191,0.1232,70.4,0.1311,135.94,2171.54,12.186,unknown
phone-a-good-light,1.3334,0.0,0.0,1.0,0.3654,0.0807,65.6,0.0957,144.95,991.7,12.186,unknown
phone-a-good-light,1.3334,0.0,0.0,1.0,0.2673,0.1105,22.71,0.0746,160.32,1696.25,12.186,unknown
phone-a-good-light,1.3334,0.0,0.0,1.0,0.3573,0.0983,22.05,0.0527,174.58,2142.41,12.186,unknown
phone-b-angled,1.3331,0.0,0.0,1.0,0.0357,0.0286,47.78,0.0334,162.15,305.99,2.305,unknown
phone-b-angled,1.3331,0.0,0.0,1.0,0.1434,0.0341,72.34,0.0346,151.0,253.37,2.305,unknown
phone-b-angled,1.3331,0.0,0.0,1.0,0.1041,0.0506,63.28,0.0716,134.42,396.48,2.305,unknown
phone-b-angled,1.3331,0.0,0.0,1.0,0.1297,0.0347,71.98,0.038,132.73,299.13,2.305,unknown
phone-b-angled,1.3331,0.0,0.0,1.0,0.0254,0.0438,65.3,0.0345,143.66,734.31,2.305,unknown
phone-b-angled,1.3331,0.0,0.0,1.0,0.0014,0.0316,36.34,0.0764,151.07,431.47,2.305,unknown
phone-b-glare,1.3333,0.0,0.0,1.0,0.1012,0.0513,44.82,0.1106,112.96,712.12,12.193,unknown
phone-b-glare,1.3333,0.0,0.0,0.0,0.0,0.0345,100.84,0.2869,77.51,637.86,12.193,unknown
phone-b-glare,1.3333,0.0,0.0,1.0,0.1184,0.039,86.36,0.2513,76.8,168.06,12.193,unknown
phone-b-glare,1.3333,0.0,0.0,1.0,0.168,0.0722,40.57,0.1357,105.91,926.24,12.193,unknown
phone-b-good-light,1.3331,0.0,0.0,1.0,0.024,0.0335,81.72,0.0352,128.86,92.18,2.305,unknown
phone-b-good-light,1.3331,0.0,0.0,1.0,0.0138,0.0334,81.55,0.019,138.93,320.46,2.305,unknown
scanner,1.3334,0.0,0.0,1.0,0.5191,0.1232,70.4,0.1311,135.94,2171.54,12.186,unknown
scanner,1.3334,0.0,0.0,1.0,0.3654,0.0807,65.6,0.0957,144.95,991.7,12.186,unknown
