label,megapixels,px_per_module,qr_located,qr_area_fraction,qr_fully_inside,sharpness,glare_fraction,glare_over_qr,mean_brightness,shadow_range,skew_degrees,ingest_error,decoded,is_secure_qr,decoder,winning_strategy,attempts,decode_ms
not-document,0.177,0.0,0.0,0.0,0.0,2212.58,0.7107,0.0,231.17,57.0,0.0,IngestError,0,0,,,0,0
not-document,0.177,0.0,0.0,0.0,0.0,2558.55,0.1502,0.0,107.08,149.0,0.39,IngestError,0,0,,,0,0
not-document,0.177,1.062,1.0,0.0786,1.0,3273.83,0.1252,0.0383,88.61,214.0,1.28,IngestError,0,0,,,0,0
not-document,0.177,0.454,1.0,0.0124,1.0,2059.62,0.0109,0.0714,32.73,61.0,0.0,IngestError,0,0,,,0,0
not-document,1.573,3.784,1.0,0.098,1.0,1077.75,0.0052,0.0129,16.2,53.0,0.0,,0,0,,,20,2765
not-document,2.471,0.0,0.0,0.0,0.0,161.62,0.0098,0.0,3.74,36.0,0.0,,0,0,,,20,3960
not-document,3.726,2.711,1.0,0.0194,1.0,875.44,0.0045,0.0102,121.54,191.0,0.0,,0,0,,,20,5906
not-document,3.726,4.412,1.0,0.0495,1.0,349.84,0.002,0.0003,119.77,175.0,0.0,,0,0,,,20,5116
not-document,3.014,10.371,1.0,0.3432,1.0,561.63,0.369,0.0908,149.28,209.0,0.0,,0,0,,,20,2904
not-document,0.867,0.0,0.0,0.0,0.0,1386.93,0.8455,0.0,234.79,116.0,0.0,,0,0,,,19,4534
not-document,0.86,0.0,0.0,0.0,0.0,1319.97,0.8528,0.0,235.2,115.0,1.73,,0,0,,,23,5074
not-document,2.742,0.0,0.0,0.0,0.0,101.99,0.0029,0.0,85.05,134.0,0.0,,0,0,,,20,5226
not-document,12.193,0.0,0.0,0.0,0.0,835.57,0.0051,0.0,142.72,183.0,0.0,,0,0,,,9,6539
not-document,12.193,0.0,0.0,0.0,0.0,25.25,0.0,0.0,31.36,52.0,0.0,,0,0,,,15,6141
not-document,1.549,1.34,1.0,0.0133,1.0,333.23,0.8189,0.9255,230.63,54.0,0.0,,0,0,,,20,1242
not-document,3.014,1.959,1.0,0.0125,1.0,837.42,0.0094,0.0218,48.83,59.0,0.0,,0,0,,,20,3665
not-document,3.014,7.536,1.0,0.1839,1.0,479.32,0.002,0.0,28.6,43.0,0.0,,0,0,,,20,1219
not-document,3.014,0.948,1.0,0.0038,1.0,1307.75,0.7144,0.1663,231.95,115.0,0.0,,0,0,,,20,5724
not-document,7.555,0.443,1.0,0.0003,1.0,167.19,0.0,0.0059,92.93,162.0,0.0,,0,0,,,15,6043
phone-a-dim,12.186,3.113,1.0,0.0104,1.0,10.55,0.0,0.0,42.8,88.0,0.0,,0,0,,,16,6032
phone-a-dim,12.186,4.67,1.0,0.0182,1.0,12.93,0.0,0.0,41.01,86.0,0.0,,0,0,,,20,5465
phone-a-dim,12.186,5.464,1.0,0.0262,1.0,17.58,0.0,0.0,50.25,61.0,0.0,,0,0,,,15,6189
phone-a-dim,12.186,7.577,1.0,0.0581,1.0,31.62,0.0,0.0,51.33,73.0,0.0,,0,0,,,15,6382
phone-a-good-light,12.186,6.856,1.0,0.0407,1.0,1638.42,0.0006,0.0,135.94,162.0,0.0,,1,1,zxing-cpp,original,2,3906
phone-a-good-light,12.186,12.969,1.0,0.1459,1.0,740.74,0.0005,0.0,144.95,153.0,0.0,,0,0,,,9,7134
phone-a-good-light,12.186,5.505,1.0,0.0279,1.0,727.13,0.0012,0.0,160.32,134.0,0.0,,1,1,zxing-cpp,original,2,2010
phone-a-good-light,12.186,9.371,1.0,0.075,1.0,1045.52,0.0083,0.0,174.58,137.0,0.0,,1,1,zxing-cpp,original,2,2253
phone-b-angled,2.305,2.557,1.0,0.0318,1.0,169.66,0.0,0.0,162.15,172.0,0.0,,0,0,,,20,1341
phone-b-angled,2.305,4.072,1.0,0.0764,1.0,123.0,0.0,0.0,151.0,168.0,0.0,,0,0,,,20,3210
phone-b-angled,2.305,0.773,1.0,0.0029,1.0,183.37,0.0,0.0,134.42,195.0,0.0,,0,0,,,24,2750
phone-b-angled,2.305,1.113,1.0,0.0062,1.0,140.37,0.0,0.0,132.73,152.0,0.0,,0,0,,,20,776
phone-b-angled,2.305,2.742,1.0,0.0333,1.0,368.76,0.0,0.0,143.66,147.0,0.0,,1,1,zxing-cpp,original,2,389
phone-b-angled,2.305,1.959,1.0,0.0194,1.0,256.48,0.0001,0.0,151.07,160.0,0.0,,0,0,,,20,1584
phone-b-glare,12.193,7.876,1.0,0.0646,1.0,307.43,0.0001,0.0007,112.96,204.0,0.0,,0,0,,,20,5733
phone-b-glare,12.193,3.753,1.0,0.0122,1.0,458.9,0.0,0.0,77.51,136.0,0.0,,0,0,,,15,6597
